"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","710","login with empty password","","Sat Sep 21 16:53:13 UTC 2024","passed","Sat Sep 21 16:53:13 UTC 2024","","login page tests","login page tests","login with empty password"
"","847","loging with empty username","","Sat Sep 21 16:53:13 UTC 2024","passed","Sat Sep 21 16:53:14 UTC 2024","","login page tests","login page tests","loging with empty username"
"","3377","login valid credentials","","Sat Sep 21 16:53:08 UTC 2024","passed","Sat Sep 21 16:53:12 UTC 2024","","login page tests","login page tests","login valid credentials"
"","1029","login invalid credentials","","Sat Sep 21 16:53:12 UTC 2024","passed","Sat Sep 21 16:53:13 UTC 2024","","login page tests","login page tests","login invalid credentials"
"","3125","click checkbox one test","","Sat Sep 21 16:53:04 UTC 2024","passed","Sat Sep 21 16:53:07 UTC 2024","","first","first","click checkbox one test"
